name,artist,year,bpm,energy,dance,dB,liveness,valence,duration,acousticness,speechiness ,pop,genre,mood
Pray For Me (with Kendrick Lamar),The Weeknd,2018,101,68,74,-5,11,19,211,8,9,72,"canadian contemporary r&b, canadian pop, pop",Angry
rock,Nickelback,2005,144,91,62,-3,34,69,252,5,4,72,"alternative metal, canadian rock, post grunge",Happy
Sandstorm,Darude,2001,136,97,53,-8,8,59,225,14,5,72,"eurodance, finnish edm",Happy
Saturday Sun,Vance Joy,2018,100,86,64,-4,22,71,215,48,5,72,"folk pop, modern rock",Happy
Say Something (feat. Chris Stapleton),Justin Timberlake,2018,97,63,71,-7,8,37,279,10,8,72,"dance pop, pop",Angry
Shut Up And Drive,Rihanna,2008,133,83,74,-5,20,74,212,0,3,72,"barbadian pop, pop, urban contemporary",Happy
Sing,Ed Sheeran,2014,120,67,82,-4,6,94,235,30,5,72,"pop, singer songwriter pop, uk pop",Happy
Skate,Bruno Mars,2021,112,60,71,-8,17,70,203,4,3,72,"dance pop, pop",Happy
Slide Away,Miley Cyrus,2019,148,54,53,-7,25,29,234,17,3,72,pop,Angry
Smile,Lily Allen,2006,96,64,63,-6,22,73,197,0,3,72,"dance pop, electropop",Happy
Sofia,Alvaro Soler,2016,128,73,69,-6,23,91,210,11,3,72,latin pop,Happy
Sonnentanz - Sun Don't Shine,Klangkarussell,2014,120,55,58,-8,10,16,238,10,9,72,"austrian pop, deep euro house",Angry
Spotlight,Marshmello,2018,150,82,55,-4,74,62,178,1,15,72,"brostep, edm, pop, progressive electro house",Happy
Stickwitu,The Pussycat Dolls,2005,80,55,55,-6,7,38,208,28,6,72,"dance pop, girl group, pop",Angry
Suge,DaBaby,2019,75,66,88,-6,13,84,163,6,43,72,"hip hop, north carolina hip hop, pop rap, rap, trap",Happy
Talk (feat. Disclosure),Khalid,2019,136,40,90,-9,6,35,198,5,13,72,"pop, pop r&b",Sad
The Ocean (feat. Shy Martin),Mike Perry,2016,90,57,63,-6,10,19,183,2,3,72,"pop dance, swedish tropical house",Angry
The Time (Dirty Bit),Black Eyed Peas,2010,128,81,82,-8,60,44,308,7,7,72,"dance pop, pop, pop rap",Angry
This Is America,Childish Gambino,2018,120,46,85,-6,35,55,226,12,14,72,"atl hip hop, hip hop, rap",Calm
Thong Song,Sisqo,1999,122,89,71,-7,7,71,254,12,7,72,"contemporary r&b, dirty south rap, hip pop, r&b, urban contemporary",Happy
Tonight Tonight,Hot Chelle Rae,2011,100,78,69,-5,16,81,200,8,12,72,"dance rock, neon pop punk, post teen pop",Happy
Turn Down for What,DJ Snake,2013,100,80,82,-4,6,8,214,0,16,72,"dance pop, edm, electronic trap, pop, pop dance",Angry
We Own It (Fast & Furious),2 Chainz,2013,172,90,56,-5,5,56,228,5,40,72,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",Happy
Youth of the Nation,P.O.D.,2001,98,86,56,-8,39,52,256,1,6,72,"alternative metal, funk metal, nu metal, rap metal, rap rock",Happy
7-Nov,Beyoncï¿,2014,136,71,75,-5,13,56,214,1,13,71,"pop, r&b",Happy
A Milli,Lil Wayne,2008,151,70,67,-9,19,77,222,4,28,71,"hip hop, new orleans rap, pop rap, rap, trap",Happy
After School,Weeekly,2021,164,93,63,-2,6,74,205,1,5,71,k pop,Happy
Alaska,Maggie Rogers,2019,104,39,85,-11,11,18,188,41,5,71,indie pop,Sad
Bailando - Spanish Version,Enrique Iglesias,2014,91,79,72,-4,4,96,243,5,11,71,"dance pop, latin pop, mexican pop",Happy
Beautiful,Christina Aguilera,2002,76,57,46,-4,11,10,239,58,3,71,"dance pop, pop",Angry
Beneath Your Beautiful (feat. Emeli Sandï¿½,Labrinth,2012,84,52,56,-6,10,24,272,23,3,71,"indie poptimism, pop",Angry
Best Thing I Never Had,Beyoncï¿,2011,99,65,55,-4,9,30,254,14,3,71,"pop, r&b",Angry
Better,Khalid,2018,98,59,44,-10,14,12,229,10,10,71,"pop, pop r&b",Angry
Boom Boom Pow,Black Eyed Peas,2009,130,86,87,-6,13,40,251,13,7,71,"dance pop, pop, pop rap",Angry
Bounce Back,Big Sean,2017,82,57,78,-6,13,27,222,11,14,71,"detroit hip hop, hip hop, pop rap, r&b, rap, trap",Angry
Breathless,The Corrs,2000,127,82,61,-8,27,77,208,5,6,71,"celtic rock, europop, pop rock",Happy
Buttons,The Pussycat Dolls,2005,211,82,56,-4,25,48,226,15,27,71,"dance pop, girl group, pop",Angry
Candy,Robbie Williams,2012,116,79,72,-7,7,88,201,4,4,71,"dance rock, europop",Happy
Clout (feat. Cardi B),Offset,2019,140,62,92,-7,12,42,206,23,10,71,"atl hip hop, hip hop, pop rap, rap, trap",Angry
Corazï¿½ï¿½n (feat. Nego do Bo,Maluma,2018,198,74,72,-6,20,75,185,33,25,71,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",Happy
country,Nelly,2000,163,66,87,-7,14,56,287,1,11,71,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",Happy
Dakota,Stereophonics,2005,147,93,51,-3,9,31,297,13,7,71,"britpop, modern rock, welsh rock",Angry
Daylight,Maroon 5,2012,120,67,66,-5,26,37,225,0,3,71,pop,Angry
Deuces (feat. Tyga & Kevin McCall),Chris Brown,2011,74,74,69,-5,8,22,277,3,11,71,"r&b, rap",Angry
Do You Remember,Jay Sean,2009,126,67,85,-5,10,82,211,2,7,71,"dance pop, pop, pop rap, post teen pop",Happy
DONTTRUSTME,3OH!3,2008,130,71,79,-4,19,51,193,2,25,71,"dance pop, electropowerpop, pop punk, pop rap, post teen pop",Happy
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,2016,91,91,72,-3,14,87,200,9,10,71,"dance pop, latin pop, mexican pop",Happy
Fancy,Iggy Azalea,2014,95,72,91,-4,5,38,200,9,7,71,"australian hip hop, dance pop, pop",Angry
Get Ur Freak On,Missy Elliott,2001,178,75,80,-9,10,74,211,53,25,71,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",Happy
Gives You Hell,The All-American Rejects,2008,100,69,72,-6,6,55,213,2,4,71,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post grunge",Happy
Hands To Myself,Selena Gomez,2015,111,50,81,-7,34,47,201,1,12,71,"pop, post teen pop",Angry
He Wasn't Man Enough,Toni Braxton,2000,88,95,74,-2,33,77,262,1,4,71,"contemporary r&b, dance pop, r&b, urban contemporary",Happy
Here,Alessia Cara,2015,120,82,38,-4,8,33,199,8,10,71,"canadian contemporary r&b, canadian pop, pop",Angry
I Believe in a Thing Called Love,The Darkness,2003,128,85,44,-5,28,62,218,5,8,71,"glam metal, hard rock",Happy
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,2012,128,79,51,-4,32,64,208,33,4,71,"dance pop, edm, pop, pop dance",Happy
I Love It (feat. Charli XCX),pop,2013,126,91,71,-3,15,82,157,1,3,71,"candy pop, dance pop, electropop, metropopolis, swedish electropop, swedish synthpop",Happy
I Write Sins Not Tragedies,Panic! At The Disco,2005,170,82,57,-4,12,67,186,7,14,71,"modern rock, pop",Happy
pop,Jason Derulo,2011,92,72,67,-5,10,35,192,2,6,71,"dance pop, pop",Angry
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,2016,163,70,63,-6,11,52,215,1,15,71,"dance pop, pop",Happy
Just Lose It,Eminem,2004,121,63,94,-4,28,96,249,6,5,71,"detroit hip hop, hip hop, rap",Happy
Kenangan Manis,Pamungkas,2018,140,68,60,-7,9,72,208,5,3,71,"indonesian pop, indonesian singer songwriter",Happy
Lifestyles of the Rich & Famous,Good Charlotte,2002,106,93,62,-4,7,61,190,0,4,71,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post grunge",Happy
dance,Daft Punk,2013,100,66,83,-8,8,67,354,8,6,71,"electro, filter house, rock",Happy
Mercy,Duffy,2008,130,86,79,-4,13,96,220,27,3,71,british soul,Happy
More - RedOne Jimmy Joker Remix,Usher,2010,125,89,55,-3,35,79,220,0,5,71,"atl hip hop, contemporary r&b, dance pop, pop, r&b, rap, south carolina hip hop, urban contemporary",Happy
Motivation,Normani,2019,171,89,60,-4,30,88,194,2,10,71,"pop, r&b",Happy
My Humps,Black Eyed Peas,2005,124,68,80,-6,11,59,327,11,22,71,"dance pop, pop, pop rap",Happy
My Love,Westlife,2000,144,59,49,-6,26,33,232,10,3,71,boy band,Angry
Panda,Desiigner,2016,145,77,58,-5,37,24,247,3,45,71,"pop rap, rap, southern hip hop, trap, viral trap",Angry
Pjanoo - Radio Edit,Eric Prydz,2008,126,87,61,-5,11,84,157,0,3,71,"edm, electro house, house, pop dance, progressive house",Happy
Pocketful of Sunshine,Natasha Bedingfield,2007,110,88,72,-4,8,66,203,19,5,71,"dance pop, pop, post teen pop",Happy
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,2014,97,68,73,-6,21,70,227,7,4,71,"dance pop, hip pop, r&b, rap, southern hip hop, trap, urban contemporary",Happy
Ready or Not,Bridgit Mendler,2012,93,87,72,-4,11,75,201,0,5,71,"pop, post teen pop",Happy
Right Above It,Lil Wayne,2010,76,84,38,-4,58,46,272,4,36,71,"hip hop, new orleans rap, pop rap, rap, trap",Angry
rock,Robbie Williams,2000,103,77,71,-4,47,86,259,3,3,71,"dance rock, europop",Happy
rock,Ashanti,2003,95,80,71,-3,16,85,209,41,6,71,"dance pop, hip pop, r&b, urban contemporary",Happy
Savin' Me,Nickelback,2005,164,82,44,-4,41,52,219,0,3,71,"alternative metal, canadian rock, post grunge",Happy
Second Chance,Shinedown,2008,100,80,46,-5,11,18,222,0,3,71,"alternative metal, nu metal, post grunge",Angry
September Song,JP Cooper,2017,96,62,61,-7,9,37,220,5,4,71,uk pop,Angry
Sexy And I Know It,LMFAO,2011,130,86,71,-4,19,80,199,10,32,71,"dance pop, pop, pop rap",Happy
Sexy Love,Ne-Yo,2006,94,52,69,-6,6,49,221,30,4,71,"dance pop, pop, r&b, urban contemporary",Angry
Show Me (feat. Chris Brown),Kid Ink,2014,98,51,71,-7,14,66,218,4,5,71,"pop rap, rap, southern hip hop, trap",Happy
Slippery (feat. Gucci Mane),Migos,2017,142,68,92,-6,10,75,304,31,26,71,"atl hip hop, hip hop, pop rap, rap, trap",Happy
Some Nights,fun.,2012,108,74,67,-7,9,39,277,2,5,71,"baroque pop, metropopolis",Angry
Superstar,Jamelia,2003,110,65,80,-7,4,82,215,5,4,71,"europop, talent show",Happy
Sweat - Remix,Snoop Dogg,2011,130,73,81,-6,8,73,196,6,3,71,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",Happy
The Edge Of Glory,Lady Gaga,2011,128,77,58,-6,11,36,321,0,4,71,"art pop, dance pop, pop",Angry
The Greatest (feat. Kendrick Lamar),Sia,2016,192,73,67,-6,6,73,210,1,27,71,"australian dance, australian pop, pop",Happy
The Sweet Escape,Gwen Stefani,2006,120,77,76,-4,18,73,246,19,3,71,"dance pop, pop",Happy
The Way You Move (feat. Sleepy Brown),Outkast,2003,126,60,87,-5,6,64,234,13,5,71,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",Happy
Touch My Body,Mariah Carey,2008,79,67,71,-8,23,84,205,10,5,71,"dance pop, pop, urban contemporary",Happy
True Love (feat. Lily Allen),P!nk,2012,192,82,46,-5,11,58,231,0,31,71,"dance pop, pop",Happy
When I'm Gone,Eminem,2005,75,75,62,-5,27,75,281,6,35,71,"detroit hip hop, hip hop, rap",Happy
When I'm Gone,3 Doors Down,2002,148,77,53,-6,10,37,260,0,3,71,"alternative metal, nu metal, post grunge, rock",Angry
Wherever I Go,OneRepublic,2016,100,69,55,-6,27,35,170,9,4,71,"piano rock, pop",Angry
Wide Awake,Katy Perry,2012,160,68,51,-5,39,57,221,7,4,71,pop,Happy
Work Bitch,Britney Spears,2013,128,82,63,-7,7,85,248,16,16,71,"dance pop, pop",Happy
Work It,Missy Elliott,2002,102,68,88,-6,7,58,263,8,28,71,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",Happy
Yeah 3x,Chris Brown,2011,130,88,71,-3,9,70,242,0,4,71,"r&b, rap",Happy
You Da One,Rihanna,2011,127,72,70,-5,13,86,200,50,4,71,"barbadian pop, pop, urban contemporary",Happy
You Know You Like It,DJ Snake,2014,196,73,41,-5,31,25,247,1,19,71,"dance pop, edm, electronic trap, pop, pop dance",Angry
You Make Me Feel... (feat. Sabi),Cobra Starship,2011,132,86,67,-3,4,75,216,2,5,71,"neon pop punk, pop punk, post teen pop",Happy
Your Love Is My Drug,Kesha,2010,120,61,83,-4,9,76,187,1,10,71,"dance pop, pop",Happy
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,2015,78,66,59,-5,12,25,224,2,20,70,"hip hop, philly rap, pop rap, rap, southern hip hop, trap",Angry
Arcade (feat. FLETCHER),Duncan Laurence,2020,72,40,45,-9,13,27,187,82,4,70,dutch pop,Sad
Ayo Technology,50 Cent,2007,140,78,63,-5,3,42,248,8,13,70,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap",Angry
Be Careful,Cardi B,2018,152,57,82,-8,10,54,211,3,41,70,"pop, rap",Happy
Blow,Kesha,2010,120,73,75,-4,7,81,220,0,4,70,"dance pop, pop",Happy
Carry Out (Featuring Justin Timberlake),Timbaland,2009,116,57,53,-7,26,27,232,11,11,70,"dance pop, pop, pop rap",Angry
Chocolate,The 1975,2013,100,94,61,-4,37,61,225,0,6,70,"modern alternative rock, modern rock, pop, pov: indie, rock",Happy
Close,Nick Jonas,2016,124,62,65,-5,14,40,234,25,8,70,"dance pop, pop",Angry
Coming Home,Diddy - Dirty Money,2010,168,84,39,-2,30,23,239,16,19,70,pop rap,Angry
Diamonds,Rihanna,2012,92,71,56,-5,11,39,225,0,5,70,"barbadian pop, pop, urban contemporary",Angry
E.T.,Katy Perry,2012,152,87,62,-5,37,76,230,2,18,70,pop,Happy
Fast Car,Jonas Blue,2015,114,57,64,-7,30,53,212,48,5,70,"pop, pop dance, tropical house, uk dance",Happy
Hero,Enrique Iglesias,2001,77,64,35,-6,11,16,264,14,5,70,"dance pop, latin pop, mexican pop",Angry
Hit 'Em Up Style (Oops!),Blu Cantrell,2001,90,77,67,-5,40,67,251,20,6,70,"hip pop, urban contemporary",Happy
I Just Couldn't Save You Tonight - Story of Kale - Original Motion Picture Soundtrack,Ardhito Pramono,2020,85,32,37,-10,11,15,220,85,4,70,"indonesian jazz, indonesian pop, jazz pop",Sad
I Miss You (feat. Julia Michaels),Clean Bandit,2018,105,62,69,-7,10,37,206,30,4,70,"pop, uk dance, uk funky",Angry
I Need A Dollar,Aloe Blacc,2010,95,48,84,-7,9,96,243,20,3,70,"pop soul, r&b",Calm
If We Ever Meet Again (Featuring Katy Perry),Timbaland,2009,126,61,65,-7,6,39,293,0,4,70,"dance pop, pop, pop rap",Angry
In the Shadows,The Rasmus,2003,106,80,60,-4,48,75,258,0,3,70,"finnish alternative rock, funk metal",Happy
It's Only Me - Studio Version,Kaleb J,2020,120,30,60,-13,12,32,203,31,4,70,indonesian pop,Sad
Just Like a Pill,P!nk,2001,102,77,69,-5,9,25,237,0,3,70,"dance pop, pop",Angry
Last Request,Paolo Nutini,2007,81,70,61,-7,14,40,220,24,5,70,"british soul, neo mellow, scottish singer songwriter",Angry
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,2012,125,68,66,-7,37,25,252,25,4,70,"dance pop, pop, r&b, urban contemporary",Angry
Like Toy Soldiers,Eminem,2004,79,77,52,-3,10,40,297,2,36,70,"detroit hip hop, hip hop, rap",Angry
Little Lion Man,Mumford & Sons,2009,139,49,52,-8,9,46,245,3,3,70,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana",Sad
Lost Without You,Freya Ridings,2019,67,14,39,-9,7,10,226,93,5,70,uk pop,Sad
Man Down,Rihanna,2010,156,90,47,-4,5,56,267,4,18,70,"barbadian pop, pop, urban contemporary",Happy
Maps,Yeah Yeah Yeahs,2003,120,94,50,-5,55,12,220,0,7,70,"alternative dance, alternative rock, art pop, dance punk, garage rock, indie rock, modern rock, neo synthpop, new rave",Angry
Mine,Taylor Swift,2010,121,78,62,-3,18,67,231,0,3,70,pop,Happy
Move Ya Body,Nina Sky,2004,121,71,87,-6,6,88,232,2,4,70,hip pop,Happy
My Life Would Suck Without You,Kelly Clarkson,2009,145,88,53,-4,14,42,211,0,5,70,"dance pop, pop, talent show",Angry
pop,The Notorious B.I.G.,2005,106,63,83,-7,28,65,286,9,14,70,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap",Happy
Oblivion,Grimes,2012,156,53,70,-9,9,49,251,12,3,70,"art pop, canadian electropop, grave wave, indietronica, metropopolis, neo synthpop",Angry
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,Asaf Avidan,2012,119,67,83,-6,17,53,215,22,6,70,"israeli pop, israeli rock",Happy
Out Of Reach,GABRIELLE,2001,183,48,51,-7,11,50,197,50,5,70,"british soul, new wave pop",Calm
Picture (feat. Sheryl Crow),rock,2001,98,50,69,-7,11,38,299,17,2,70,nu metal,Angry
Please Don't Go,Joel Adams,2015,84,77,51,-5,29,24,211,1,6,70,"australian pop, pop soul",Angry
pop,Gwen Stefani,2004,98,75,86,-3,21,72,236,3,4,70,"dance pop, pop",Happy
rock,Bob Sinclar,2006,128,82,89,-4,5,90,245,7,12,70,"disco house, filter house",Happy
See You Again,Miley Cyrus,2007,139,91,69,-5,11,80,190,2,18,70,pop,Happy
Shake It Out,Florence + The Machine,2011,107,80,52,-4,11,23,278,1,4,70,"baroque pop, electropop, modern rock, uk alternative pop",Angry
Single Ladies (Put a Ring on It),Beyoncï¿,2008,193,58,43,-5,19,27,193,4,30,70,"pop, r&b",Angry
dance,Martin Jensen,2016,115,85,75,-2,20,40,175,5,5,70,"danish electronic, edm, pop dance",Angry
Stay,Rihanna,2012,112,31,62,-10,12,13,241,95,3,70,"barbadian pop, pop, urban contemporary",Sad
"Steady, As She Goes",The Raconteurs,2006,124,58,53,-5,11,54,215,1,12,70,"alternative rock, garage rock, garage rock revival, indie rock, modern blues rock, modern rock, rock, supergroup",Happy
Strip That Down (feat. Quavo),Liam Payne,2019,106,50,87,-5,8,55,202,20,5,70,pop,Happy
Take It Off,Kesha,2010,125,68,73,-5,9,74,215,0,3,70,"dance pop, pop",Happy
Toosie Slide,Drake,2020,82,49,83,-9,11,85,247,29,21,70,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Calm
You Don't Own Me (feat. G-Eazy),SAYGRACE,2016,186,64,33,-6,6,26,201,16,9,70,r&b,Angry
rock,Michael Jackson,2001,95,67,85,-3,26,96,338,4,19,70,"r&b, soul",Happy
Youngblood,5 Seconds of Summer,2018,120,85,60,-5,12,15,203,2,46,70,"boy band, pop",Angry
Yummy,Justin Bieber,2020,146,51,68,-7,12,50,209,35,10,70,"canadian pop, pop",Happy
All Time Low,Jon Bellion,2016,90,57,62,-4,9,51,218,6,8,69,indie pop rap,Happy
As Long As You Love Me,Justin Bieber,2012,140,87,57,-3,36,61,229,8,10,69,"canadian pop, pop",Happy
Be Without You - Kendu Mix,Mary J. Blige,2005,147,70,73,-6,26,67,246,7,10,69,"dance pop, hip pop, neo soul, r&b, urban contemporary",Happy
Black Widow,Iggy Azalea,2014,164,72,74,-4,11,52,209,19,12,69,"australian hip hop, dance pop, pop",Happy
Blow Me (One Last Kiss),P!nk,2012,114,92,60,-3,28,73,256,0,4,69,"dance pop, pop",Happy
Bye Bye Bye,*NSYNC,2000,173,93,61,-5,8,88,201,4,5,69,"boy band, dance pop, pop",Happy
Cheap Thrills (feat. Sean Paul),Sia,2016,90,80,59,-5,8,73,225,6,22,69,"australian dance, australian pop, pop",Happy
Closer,Ne-Yo,2008,126,75,71,-6,15,58,234,2,7,69,"dance pop, pop, r&b, urban contemporary",Happy
Cry for You,September,2007,130,88,77,-4,6,96,210,0,3,69,"swedish electropop, swedish pop",Happy
Dead And Gone,T.I.,2008,135,75,71,-5,60,47,300,4,26,69,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap",Angry
Differences,Ginuwine,2001,63,59,56,-5,31,42,266,32,6,69,"contemporary r&b, hip pop, r&b, urban contemporary",Angry
Dragostea din tei,O-Zone,2004,130,97,80,-4,6,68,215,18,4,69,"eurodance, europop, moldovan pop",Happy
Fallin',Alicia Keys,2001,96,61,65,-8,23,48,210,26,4,69,"neo soul, pop, r&b",Angry
Fighter,Christina Aguilera,2002,189,92,44,-1,55,45,246,24,20,69,"dance pop, pop",Angry
For the First Time,The Script,2010,174,63,39,-5,10,38,252,3,3,69,"celtic rock, pop",Angry
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,2003,102,40,89,-6,8,76,237,45,13,69,"dance pop, pop",Calm
Gecko (Overdrive) - Radio Edit,Oliver Heldens,2014,125,89,61,-5,34,76,165,1,6,69,"dutch house, edm, electro house, future house, house, pop dance, progressive electro house, progressive house",Happy
Ghetto Gospel,2Pac,2004,81,61,79,-5,8,66,238,10,5,69,"g funk, gangster rap, hip hop, rap, west coast rap",Happy
Gimme That,Chris Brown,2005,87,57,68,-7,12,44,187,0,5,69,"r&b, rap",Angry
Goodies (feat. Petey Pablo),Ciara,2004,102,65,83,-6,30,87,223,3,5,69,"dance pop, hip pop, pop, r&b, urban contemporary",Happy
High Hopes,Kodaline,2013,77,49,49,-6,19,22,230,58,3,69,"irish pop, modern rock",Sad
Homemade Dynamite (Feat. Khalid & Post Malone & SZA) - REMIX,Lorde,2017,107,55,78,-5,13,18,214,23,8,69,"art pop, metropopolis, nz pop, pop",Angry
I Cry,Flo Rida,2012,126,82,69,-5,32,76,224,1,4,69,"dance pop, miami hip hop, pop, pop rap",Happy
I Don't Like It. I Love It (feat. Robin Thicke & Verdine White),Flo Rida,2015,118,77,85,-5,8,78,224,2,14,69,"dance pop, miami hip hop, pop, pop rap",Happy
I Got U,Duke Dumont,2014,121,76,64,-8,9,46,286,0,4,69,"edm, house, pop dance, progressive house, uk dance",Angry
I'm A Believer,Smash Mouth,2001,82,98,55,-4,44,87,185,2,6,69,"pop rock, post grunge",Happy
Impossible,Shontelle,2010,90,62,60,-4,13,53,227,39,3,69,"barbadian pop, dance pop, post teen pop, talent show",Happy
Leave (Get Out),JoJo,2004,87,56,70,-7,8,46,243,16,20,69,"dance pop, pop, post teen pop",Angry
Light On,Maggie Rogers,2019,102,57,66,-6,13,40,234,20,5,69,indie pop,Angry
Lighters,Bad Meets Evil,2011,90,70,68,-8,12,14,304,35,25,69,detroit hip hop,Angry
Locked Up,Akon,2005,90,57,83,-4,11,37,235,3,8,69,dance pop,Angry
Lose Control (feat. Ciara & Fat Man Scoop),Missy Elliott,2005,125,81,90,-7,5,81,227,3,12,69,"dance pop, hip hop, hip pop, neo soul, pop rap, r&b, rap, urban contemporary, virginia hip hop",Happy
Love Don't Cost a Thing,Jennifer Lopez,2001,98,84,79,-5,47,69,221,0,7,69,"dance pop, pop, urban contemporary",Happy
Lucky,Britney Spears,2000,95,79,77,-6,7,97,206,26,3,69,"dance pop, pop",Happy
LUV,Tory Lanez,2016,190,53,54,-8,12,25,229,1,25,69,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, trap",Angry
m.A.A.d city,Kendrick Lamar,2012,91,73,49,-7,44,22,350,5,27,69,"conscious hip hop, hip hop, rap, west coast rap",Angry
Mad Love,Mabel,2019,198,80,62,-3,12,61,170,66,20,69,"pop, uk pop",Happy
Milkshake,Kelis,2003,113,77,88,-6,21,76,183,1,4,69,"dance pop, hip pop, neo soul, urban contemporary",Happy
Move Your Feet,Junior Senior,2002,119,90,75,-3,20,85,182,5,8,69,danish pop,Happy
My Chick Bad,Ludacris,2010,85,72,62,-7,48,76,217,17,38,69,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap",Happy
New Shoes,Paolo Nutini,2007,150,74,75,-9,9,85,204,47,9,69,"british soul, neo mellow, scottish singer songwriter",Happy
No Money,Galantis,2016,126,92,67,-4,24,80,189,3,4,69,"dance pop, edm, pop, pop dance",Happy
Post Malone (feat. RANI),Sam Feldt,2019,107,64,59,-4,11,65,174,8,12,69,"edm, pop dance, tropical house",Happy
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,2014,123,89,76,-5,62,78,189,2,3,69,"french indie pop, french rock",Happy
Purple Pills,D12,2001,125,63,78,-6,29,75,305,2,16,69,"detroit hip hop, gangster rap, hip hop",Happy
Put On,Jeezy,2008,138,77,65,-6,9,27,321,0,4,69,"atl hip hop, crunk, dirty south rap, gangster rap, old school atlanta hip hop, rap, southern hip hop, trap",Angry
rock,Aaliyah,2001,93,73,64,-5,20,42,275,7,3,69,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",Angry
Rumour Has It,Adele,2011,120,75,61,-5,17,57,223,62,4,69,"british soul, pop, pop soul, uk pop",Happy
Shake It,Metro Station,2007,150,96,62,-4,49,79,180,0,8,69,"electropowerpop, neon pop punk, pixie, pop punk",Happy
Shape of You,Ed Sheeran,2017,96,65,83,-3,9,93,234,58,8,69,"pop, singer songwriter pop, uk pop",Happy
Sing,Travis,2001,163,91,33,-5,7,26,229,0,5,69,britpop,Angry
Snap Yo Fingers,Lil Jon,2006,82,76,84,-5,29,63,274,1,23,69,"atl hip hop, crunk, dance pop, dirty south rap, old school atlanta hip hop, pop rap, southern hip hop, trap",Happy
Stereo Love - Edit,Edward Maya,2009,127,79,80,-4,10,55,184,4,3,69,"romanian house, romanian pop",Happy
Summer Love,Justin Timberlake,2006,96,59,61,-7,33,48,253,8,9,69,"dance pop, pop",Angry
Talking Body,Tove Lo,2014,120,76,74,-5,8,11,238,10,3,69,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",Angry
The London (feat. J. Cole & Travis Scott),Young Thug,2019,98,59,80,-7,13,18,200,2,15,69,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",Angry
There for You,Martin Garrix,2017,106,64,61,-8,12,13,222,12,6,69,"dutch edm, edm, pop, pop dance, progressive house",Angry
Thinking About You (feat. Ayah Marar),Calvin Harris,2012,128,87,73,-4,10,75,248,0,4,69,"dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance",Happy
Try Again,Aaliyah,2001,93,66,79,-5,9,68,285,8,25,69,"contemporary r&b, dance pop, hip pop, r&b, urban contemporary",Happy
T-Shirt,Migos,2017,139,69,87,-4,16,49,242,24,22,69,"atl hip hop, hip hop, pop rap, rap, trap",Angry
#thatPOWER,will.i.am,2013,128,61,80,-6,7,40,280,0,6,68,"dance pop, pop",Angry
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,Sean Paul,2006,96,76,71,-3,4,72,244,7,23,68,"dance pop, dancehall, pop, pop rap",Happy
Adorn,Miguel,2012,179,58,63,-6,19,24,193,5,18,68,r&b,Angry
Alive,Empire of the Sun,2013,120,88,52,-3,7,40,205,11,4,68,"australian dance, australian electropop, dance rock, indietronica, neo synthpop",Angry
All I Ever Wanted - Radio Edit,Basshunter,2008,145,98,65,-7,16,55,176,16,5,68,"eurodance, europop",Happy
All The Right Moves,OneRepublic,2009,146,95,53,-4,28,65,238,26,5,68,"piano rock, pop",Happy
Anaconda,Nicki Minaj,2014,130,61,96,-6,21,65,260,7,18,68,"hip pop, pop, queens hip hop, rap",Happy
Beautiful,Snoop Dogg,2005,101,74,89,-5,9,96,299,30,13,68,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap",Happy
